rho, F, G
1.33, 3.7342987061505895, 1.6312990401795195
1.34, 3.731415136926251, 1.6286014263644841
1.35, 3.72867928680568, 1.6259213840683775
1.36, 3.7260884967792416, 1.6232586814989127
1.37, 3.72364017360535, 1.620613091631577
1.38, 3.721331787736622, 1.6179843920764865
1.39, 3.719160871325502, 1.615372364949913
1.4, 3.717125016305789, 1.61277679675029
1.41, 3.7152218725466666, 1.6101974782385085
1.42, 3.7134491460760133, 1.6076342043223222
1.43, 3.7118045973699267, 1.6050867739446915
1.44, 3.710286039705577, 1.602554989975919
1.45, 3.7088913375746113, 1.6000386591093994
1.46, 3.707618405154503, 1.5975375917608574
1.47, 3.70646520483536, 1.595051601970925
1.48, 3.705429745799811, 1.5925805073109283
1.49, 3.7045100826537327, 1.5901241287917498
1.5, 3.703704314105678, 1.5876822907756578
1.51, 3.7030105816929524, 1.585254820890984
1.52, 3.702427068552419, 1.582841549949518
1.53, 3.7019519982341746, 1.580442311866548
1.54, 3.7015836335563383, 1.5780569435834324
1.55, 3.7013202754992784, 1.5756852849925846
1.56, 3.7011602621376856, 1.5733271788648215
1.57, 3.7011019676089516, 1.570982470778949
1.58, 3.701143801116424, 1.5686510090535253
1.59, 3.701284205966131, 1.5663326446807084
1.6, 3.701521658635668, 1.5640272312621186
1.61, 3.7018546678739694, 1.561734624946641
1.62, 3.7022817738307783, 1.559454684370088
1.63, 3.70280154721464, 1.5571872705966738
1.64, 3.7034125884783364, 1.5549322470622178
1.65, 3.7041135270307053, 1.5526894795190218
1.66, 3.704903020473833, 1.5504588359823652
1.67, 3.705779753864669, 1.5482401866785602
1.68, 3.7067424390001324, 1.5460334039945018
1.69, 3.7077898137248413, 1.5438383624286787
1.70, 3.7089206412606153, 1.541654938543577
1.71, 3.710133709556948, 1.5394830109194464
1.72, 3.7114278306616786, 1.5373224601093598
1.73, 3.7128018401111236, 1.535173168595547
1.74, 3.714254596338961, 1.5330350207469419
1.75, 3.7157849801031837, 1.5309079027779093
1.76, 3.7173918939304817, 1.5287917027081093
1.77, 3.7190742615774215, 1.5266863103234667
1.78, 3.720831027507829, 1.5245916171382028
1.79, 3.722661156385799, 1.5225075163578963
1.8, 3.7245636325837874, 1.5204339028435436
1.81, 3.726537459705259, 1.5183706730765787
1.82, 3.728581660121367, 1.5163177251248325
1.83, 3.7306952745212074, 1.5142749586093884
1.84, 3.7328773614751585, 1.5122422746723156
1.85, 3.735126997010862, 1.510219575945248
1.86, 3.737443274201421, 1.5082067665187817
1.87, 3.739825302765402, 1.5062037519126703
1.88, 3.7422722086782247, 1.5042104390467836
1.89, 3.7447831337945874, 1.5022267362128157
1.9, 3.747357235481534, 1.500252553046713
1.91, 3.7499936862618206, 1.4982878005018054
1.92, 3.7526916734672455, 1.4963323908226107
1.93, 3.7554503989016013, 1.494386237519301
1.94, 3.7582690785129538, 1.4924492553428088
1.95, 3.7611469420749275, 1.4905213602605452
1.96, 3.764083232876713, 1.4886024694327256
1.97, 3.76707720742152, 1.4866925011892727
1.98, 3.7701281351331954, 1.484791375007288
1.99, 3.7732352980707544, 1.4828990114890703
2., 3.7763979906505725, 1.4810153323406607
2.01, 3.7796155193759926, 1.4791402603509334
2.02, 3.782887202574116, 1.4772737193711296
2.03, 3.7862123701395554, 1.4754156342949407
2.04, 3.7895903632849324, 1.4735659310390308
2.05, 3.793020534297905, 1.4717245365240288
2.06, 3.796502246304533, 1.4698913786559633
2.07, 3.800034873038783, 1.468066386308135
